"user_id","IAT_Score_Gender","IAT_Score_Race"
"10",0.251503856415717,0.853695578438333
"11",0.0842522958961798,0.404060188918416
"12",0.435335910958897,-0.112495263498909
"13",-0.436532202604318,0.393106108864438
"14",0.352891100928059,0.262879372867362
"15",0.617172151765229,0.793092273819428
"16",0.59088376751519,0.658224317494216
"17",0.298774488009524,0.618092287767093
"18",0.336119453825136,0.116519091907575
"2",-0.113881556557668,0.38547863804737
"20",NA,NA
"21",0.352717887146263,0.839079314372603
"22",0.524403167405893,0.127863433269227
"23",0.777775523642053,0.0228572550858686
"24",0.0494132865914326,-0.120257050385581
"25",0.492450278402337,0.62208444321655
"26",0.671188620142423,0.318264906956118
"27",0.32536625095643,0.361438888228846
"28",0.875523004202965,0.27381216521669
"29",0.550662287760326,0.601401091771576
"3",0.662322970752826,0.69737686657004
"30",0.305877261218335,0.855749646652588
"32",0.57462171191182,0.392739341941962
"33",0.792796686532404,0.42180297059524
"34",-0.186031532317345,0.275212213208448
"37",0.223348628876754,1.17656317395771
"38",0.40312851471308,0.242159880439456
"40",0.422296430214124,0.309339860398757
"41",NA,0.829166430213416
"42",0.492177346407986,NA
"43",-0.119240165781493,0.776103413928718
"44",0.491456768658078,0.343324000430364
"45",0.198723981890929,-0.55118891554877
"46",0.530326620542606,0.315789455248095
"47",1.23467280939199,0.734513919125401
"48",0.78148327045333,1.13777635700827
"49",-0.057018089566106,0.281908351861233
"5",0.92491866479421,0.675395886376918
"50",0.42333278325073,0.630218367337158
"51",0.70982667052557,0.584853636677225
"52",0.645631733080673,0.716243507953444
"53",0.0756408036964156,-0.159870051048785
"54",-0.968535261024708,-0.0274195063473029
"56",NA,-0.222180593566136
"57",0.580103706830589,-0.139395726438472
"58",0.606785279977801,0.00909093321617271
"59",0.472524863801037,-0.612130458716494
"6",-0.0218353910955672,0.899093249059809
"60",0.36738323020612,0.528464868054463
"61",-0.197892240461608,NA
"62",0.0561657319888403,-0.454737160782263
"63",1.43028708899639,1.07648217440517
"64",-0.0512682719220838,NA
"65",-0.10774354875545,-0.845045221451068
"67",0.504765161295506,0.468361777221506
"68",-0.110590583585932,0.558885997441324
"69",0.885897211691191,0.212451843646787
"7",0.355208201322714,0.461022070238284
"70",-0.393968110835946,0.730345904818406
"71",0.287700365806407,0.507810012529123
"72",0.161876106207716,0.294327895802803
"73",-0.22931245019656,0.0542646529197758
"74",0.570839672278371,1.03703688399602
"75",0.675089558049622,0.0585567596630723
"76",0.236934613103134,0.0871766447066738
"77",-0.272440738041918,0.4115526188421
"79",0.145922085665884,0.110555827587283
"8",0.678605609568067,0.265363812701259
"80",0.353992709483375,0.588431025110817
"81",NA,0.293200365415459
"82",0.0892800693649921,-0.465016787307059
"83",0.315264916964341,0.703133604924998
"84",0.360457294917654,0.264324853520417
"85",0.133356959955981,0.493890877717106
"9",0.430290017112146,1.076339051331
